Sr No,Course Name,Announcement,Date Published
153,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Greetings!!!!

As per the schedule time of viva and practical exam for the subject CE144 Object Oriented Programming with C++  will be 9:15 am on your respective scheduled dates. 


All the students are requested to report at 9:10 am at the mentioned location.
Venue: -
Viva: 317
Practical:317
Waiting Area: 323 
Practical Examination of A batch - 9:15 am to 10:45 am, B batch - 11:00 to 12:30 and C batch - 2:00 pm to 3:30 pm are scheduled.

Viva: 9:15 am onwards 

Please note the following points:

1. All students should come in decent formal wear.

2.   Proper discipline is to be observed by the students during viva and practical exams

3. All students should make sure that their signature is on the term-work signature sheet prior to the start of the practical/viva exam.

4. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",2024-05-09T10:22:53.946Z
154,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Greetings!!!!

As per the schedule time of viva and practical exam for the subject CE144 Object Oriented Programming with C++  will be 9:15 am on your respective scheduled dates. 


All the students are requested to report at 9:10 am at the mentioned location.
Venue: -
Viva: 317
Practical:317
Waiting Area: 323 
Practical Examination of A batch - 9:15 am to 10:45 am, B batch - 11:00 to 12:30 and C batch - 2:00 pm to 3:30 pm are scheduled.

Viva: 9:15 am onwards 

Please note the following points:

1. All students should come in decent formal wear.

2.   Proper discipline is to be observed by the students during viva and practical exams

3. All students should make sure that their signature is on the term-work signature sheet prior to the start of the practical/viva exam.

4. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",2024-05-09T10:22:42.671Z
155,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find below the evaluation faculty name according to the batch. Those who have not submitted the practical file on time or left to give the internal practical exam kindly contact to the faculty.


2DSCE1(Batch A) - Disha Panchal 
2DSCE1(Batch B) - 

Disha Panchal 
2DSCE1(Batch C) - Dipika Damodar 


2DSCE2(Batch A) - Priyanka Padhiyar
2DSCE2(Batch B) - Aishwariya Budhrani
2DSCE2(Batch C) - Dipika Damodar ",2024-05-03T07:24:38.696Z
156,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

If you have any doubt in any practicals or topic, kindly inform us, we will arrange online sessions to solve your doubt.

Thank you.",2024-04-26T08:44:50.171Z
157,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Unit Test  2 Syllabus-  Unit No.  7 to 11

7. Operator Overloading
8.Inheritance
9.Pointers and Virtual Functions
10.Managing Console I/O Operations
11.Working with Files",2024-04-20T10:28:06.971Z
158,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 16 
Update the TATA motors system (practical 3) to get input from the file.",2024-04-15T04:02:21.054Z
159,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 15 
Develop a C++ program for amazon product as per given class diagram.",2024-04-15T04:01:17.898Z
160,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 14 
Develop a C++ program for library management system.",2024-04-15T04:00:11.198Z
161,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 12 
Develop a C++ program for CHARUSAT students marksheet generator (practical 1) using class.",2024-04-15T03:59:16.511Z
162,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 8 Develop a C++ program store and retrieve CHARUSAT employee details. (employee details :- teaching and non-teaching employee)",2024-03-19T03:48:04.338Z
163,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Reference material for pointer.,2024-04-11T09:08:47.522Z
164,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
Please find attached Ppt for Inheritance! updated ppt with remaining topics.

Regards,",2024-03-20T06:57:53.940Z
165,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Kindly take note that only turned in assignments from your official charusat Id will be considered for evaluation.

Thank you.",2024-04-07T11:10:39.312Z
166,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

In one of your lab sessions, the Internal Practical Exam will be conducted in the upcoming week(8-04-20254 - 12-04-2024), So kindly prepare yourself up to Chapter - 8.


Thank you.",2024-04-07T09:36:58.582Z
167,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,
Practical - 13 
Update the CHARUSAT employee system (practical 8) as per given class diagram.",2024-04-04T07:01:32.794Z
168,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 11 

Create a C++ code to take employee experience to represent as floating point value.",2024-04-02T10:01:24.935Z
169,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Doubt Solving session is arranged on 6/4/2024 (Saturday).
Time: 9:30 onwards
Location: 303 Lab",2024-04-02T09:12:12.380Z
170,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached the reference PPT for Chapter - 7",2024-03-28T08:08:16.300Z
171,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached Ppt for Chapter - 10",2024-03-28T07:52:13.089Z
172,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Greetings. We are thrilled to announce an upcoming peer learning session on the topic of the Standard Template Library (STL). As part of this initiative, we have created a Google Form registration link for interested students to sign up and participate.
Here is the link to the Google Form: https://forms.gle/pE57nsuRRicEjxSG7

Please show your interest by filling out the form by tomorrow 1:00 pm.

Thank you.",2024-03-27T08:43:46.682Z
173,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached below google form of Doubt Solving session. After I will receive responses, data and time will be communicated for the session",2024-03-27T04:43:49.653Z
174,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 10
Create a C++ code to take floating point number and assign to employee experience. ",2024-03-26T04:26:14.048Z
175,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 9
Create a C++ code for millimeter and centimeter measurement converter.",2024-03-19T04:01:51.177Z
176,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA First internal examination marks of CE144: OBJECT ORIENTED PROGRAMMING WITH C++




Thank you.
",2024-03-12T09:48:01.504Z
177,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 7Create a C++ program to perform simple mathematic operations of complex numbers.",2024-03-12T08:57:31.211Z
178,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Internal Question Paper.

Thank you.",2024-03-04T09:58:35.419Z
179,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 6

Develop a C++ program store and retrieve CHARUSAT employee details.",2024-03-04T03:43:17.239Z
180,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

The syllabus for the Internal Theory Examination for Object Oriented Programming with C++ (CE144) is as follows:

Unit 1: Principles of Object-oriented Programming
Basic concept of object-oriented Programming, Benefits of OOP, Difference between object-oriented language and procedure-oriented language

Unit 2: Introduction of C++
What is C++, Simple C++ Program, Applications of C++, Introduction to class, object and creating simple program using class, Structure of C++ program

Unit 3: Tokens and Expressions & Control StructureType compatibility, Dynamic initialization, Reference variables Scope Resolution Operator, Memory Management,

Operator, Manipulators, Type cast operator

Unit 4: Functions
The main function, simple functions, call by reference, return by reference, inline functions, overloaded functions, default
arguments

Unit 5: Classes and objects
Limitation of C structure, declaring class and defining member function, making outside function inline, Nesting
member function, Private member function arrays within a class, memory allocation of objects, Static data members and
Member functions, Arrays of Objects, Object as a function argument, Friend functions, Returning objects, const Member functions

Unit 6: Constructor and Destructors
Introduction to Constructors, Parameterized Constructors, Multiple Constructors in class, Constructors with default
argument, Dynamic initialization of Constructors, Dynamic Initialization of objects, Copy Constructor, Dynamic Constructor, Destructors

All the best for examination",2024-02-20T09:07:09.280Z
181,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Reference Question bank.",2024-02-20T06:01:43.407Z
182,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Hope you are doing well.

Here I am sharing subject material for your reference.

thank you",2024-02-20T04:05:31.417Z
183,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 5 

Develop a system to calculate the area of circle.",2024-02-14T04:46:21.452Z
184,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 4 

Develop a system to calculate the area of a shape.",2024-02-06T04:39:47.855Z
185,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Here, I am sharing the reference material for the topic: Principles of Object-oriented Programming, Introduction of C++ and Tokens (topic details description mentioned in the material added).

Kindly go through it.
If any doubt then you can contact me.
PFA",2024-02-05T04:20:51.492Z
186,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear All,

PFA Syllabus, Pedagogy and Rubrics

Subject Name: CE144 Object Oriented Programming with C++",2024-01-02T16:48:55.323Z
187,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 3 

Create a car data management system for TATA motors using C++.",2024-01-16T09:31:38.459Z
188,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 2 

Develop a C++ program store and retrieve CHARUSAT employee details.",2024-01-16T09:30:36.910Z
189,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 1 Develop a C++ program for CHARUSAT student marksheet generator",2024-01-16T03:51:12.488Z
190,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Every week practical Aim will be posted here which you have to perform and maintain as a lab journal. Practical - 1 is already been uploaded.

I will create an assignment for each practical in the classroom that you to submit within the deadline.

Ignore the practical list that was uploaded earlier.

Thank you.",2024-01-16T09:26:58.016Z
191,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical File format - OOPC++",2024-01-16T04:36:30.086Z
192,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA E-Books:-",2024-01-02T17:05:34.048Z
193,MA143_EM_I_2023_2024 (ODD),"Dear students,

I am going to share feedback link of an expert talk in the lecture. So, join this lecture without fail.

We will consider your attendance from this form. As you know, attendance is also one of the criteria for the internal evolution of MA143 (EM - I).

Regards.",2023-12-02T07:44:52.699Z
194,MA143_EM_I_2023_2024 (ODD),"Dear students,

Expert session is already started, please join it without fail.

Regards.",2023-12-02T07:14:20.658Z
195,MA143_EM_I_2023_2024 (ODD),"Dear all,

Gentile Reminder.

 Greetings from DOMS, PDPIAS !!!

Department of Mathematical Sciences, P. D. Patel Institute of
Applied Sciences, CHARUSAT, is organizing an Expert Session on ""Applications
of Calculus and Matrix theory in various engineering fields "".


 Date: 2nd December 2023
Day: Saturday
Time: 12:15 PM Onwards
Online Platform: Zoom
Link: Please click the link below to join the webinar:

https://us06web.zoom.us/j/86527489501?pwd=44A6cZyIm-zXPazw5JOpwl4jAqsQZw.jI5oFFAFjjaG8VaY
Webinar ID: 865 2748 9501
Passcode: 741384

Expert Name & Affiliation: Dr. HARSHAD PATEL
Assistant Professor, U.V Patel College of Engineering, Ganpat
University, Kherva, Mehsana, Gujarat, India.

About Expert:His area of research includes Fluid Mechanics, MHD Flow of Non-Newtonian Fluid, and Machine Learning. He has published research papers in various reputable national and international journals and has also delivered expert talks at esteemed institutes such as Gujarat College, St. Xavier’s College, The M. S. University of Baroda, MTTF, Parul University, etc.He is a member of professional bodies and actively participates in conferences, FDP, STTP, etc. Additionally, he has reviewed numerous research papers for reputable international publishers and journals. This presents an excellent opportunity for anyone seeking to explore real-world problems through
mathematics.

Kindly circulate this information to other faculty members and students of your contacts and encourage them to participate in this lecture.


Kindly join this session before 15 minutes.

Note: There is no participation fee and no
certificate will be provided.

Thank you.

Sincerely Yours,
Dr. Jimitkumar Patel
and Faculty of Department of Mathematical Sciences.",2023-12-02T05:52:21.027Z
196,MA143_EM_I_2023_2024 (ODD),"Dear Students,

Gentle reminder. 
 
As you are aware, quiz is one of the important criteria for the internal evaluation of MA143 (Engineering Mathematics – I). Please find following the information for the quiz examination of MA143 (Engineering Mathematics - I).

Syllabus: All Units (Unit – 1,2,3,4,5)
Date: 1st December 2023, Friday
Time: 11:35 AM to 12:00 Noon
Total Marks: 10
Link: https://forms.gle/7zegDhZcwbZbZ7Xc7
The link will be activated precisely at 11:35 AM sharp.
If you have any queries, please reach out to me on 9909236460.

I kindly request everyone to join using their institute email IDs; otherwise, the Google quiz form may not open.

Please share this information with the first-year B. Tech. students only.

Best regards.
",2023-12-01T05:50:37.682Z
197,MA143_EM_I_2023_2024 (ODD),"Dear all, 


 


Greetings from DOMS, PDPIAS !!! 


Department of Mathematical Sciences, P. D. Patel Institute of
Applied Sciences, CHARUSAT, is organizing an Expert Session on ""Applications
of Calculus and Matrix theory in various engineering fields "".


 


Date: 2nd December 2023 


Day: Saturday


Time: 12:15 PM Onwards


Online Platform: Zoom 


Link:Please click the link below to join the webinar:

https://us06web.zoom.us/j/86527489501?pwd=44A6cZyIm-zXPazw5JOpwl4jAqsQZw.jI5oFFAFjjaG8VaY


 


Webinar ID: 865 2748 9501

Passcode: 741384


 


Expert Name & Affiliation: Dr. HARSHAD PATEL


Assistant Professor, U.V Patel College of Engineering, Ganpat
University, Kherva, Mehsana, Gujarat, India.


About Expert:His area of research includes Fluid Mechanics, MHD
Flow of Non-Newtonian Fluid, and Machine Learning. He has published research
papers in various reputable national and international journals and has also
delivered expert talks at esteemed institutes such as Gujarat College, St.
Xavier’s College, The M. S. University of Baroda, MTTF, Parul University, etc.
He is a member of professional bodies and actively participates in conferences,
FDP, STTP, etc. Additionally, he has reviewed numerous research papers for
reputable international publishers and journals. This presents an excellent
opportunity for anyone seeking to explore real-world problems through
mathematics.


 


 


Kindly circulate this information to other faculty members
and students of your contacts and encourage them to participate in this
lecture. 


 


Kindly join this session before 15 minutes.


 


Note: There is no participation fee and no
certificate will be provided. 


 


Thank you. 


Sincerely Yours,

Dr. Jimitkumar Patel
and Faculty of Department of Mathematical Sciences.",2023-11-29T04:08:56.660Z
198,MA143_EM_I_2023_2024 (ODD),"Dear Students,


 


As you are aware, quiz is one of the important
criteria for the internal evaluation of MA143 (Engineering Mathematics – I). Please
find following the information for the quiz examination of MA143 (Engineering
Mathematics - I).


 


Syllabus: All Units (Unit – 1,2,3,4,5)


Date: 1st December 2023, Friday 


Time: 11:35 AM to 12:00 Noon 


Total Marks: 10 


Link: https://forms.gle/7zegDhZcwbZbZ7Xc7


 


 


The link will be activated precisely at 11:35 AM sharp.


 


If you have any queries, please reach
out to me on 9909236460.


 


I kindly request everyone to join
using their institute email IDs; otherwise, the Google quiz form may not open.


 


Please share this information with
the first-year B. Tech. students only.


 


 


 


Best regards.",2023-11-29T04:07:41.392Z
199,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find the question paper of first and second internal examination for your reference.

Regards.",2023-11-28T09:45:40.343Z
200,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached all materials for Unit II and Unit V of MA143 (EM I) for your reference.

Regards.",2023-11-02T08:03:30.340Z
201,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached the syllabus of MA143 (Engineering Mathematics - I) for the upcoming second internal examination scheduled on 06 - 11 - 2023 (Monday).

If you have any questions, please feel free to contact me.

Regards.",2023-10-31T08:55:14.860Z
202,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached some old question papers of first internal for MA143 (EM_I) and old course for your reference.

 Regards.",2023-09-15T15:32:33.896Z
203,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached the syllabus of MA143 (Engineering Mathematics - I) for the upcoming first internal examination scheduled on 20 - 09 - 2023 (Wednesday).

If you have any questions, please feel free to contact me.

Regards.",2023-09-12T10:10:42.098Z
204,MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached all materials for Unit I, Unit II and Unit IV of MA143 (EM I) for your reference.

Regards. ",2023-09-11T04:26:47.613Z
205,CE143- Computer Concept Programming,"Dear Students, 

Please find the Previous year's University Papers. ",2023-12-13T10:21:19.947Z
206,CE143- Computer Concept Programming,"Dear Students, 

Please find the Previous year's University Papers. 

Thank You",2023-12-13T10:20:30.614Z
207,CE143- Computer Concept Programming,"Dear students, 

A gentle reminder for tomorrow's CCP exam. 

Please note the following points:

1. All students should come in decent formal wear.
2. All the students must have submitted the practical file and hacker rank score. 
3. Proper discipline is to be observed by the students during viva and practical exams
4. All students should ensure that their signature on the term-work signature sheet before the practical/viva exam starts.
5. Try to answer the questions in English only. ",2023-12-04T16:02:10.083Z
208,CE143- Computer Concept Programming,"Dear Students, 
 
Kindly upload the Practical File and HackerRank PDF file on below link before 03-12-2023: 

https://forms.gle/QpSDCYNgCQZachNf9",2023-12-01T03:50:24.876Z
209,CE143- Computer Concept Programming,"Dear Students, 

PFA for 2nd unit test mark of CCP.",2023-11-25T04:34:46.194Z
210,CE143- Computer Concept Programming,"Dear students,

Greetings!

As per the scheduled time of viva and practical exam for the subject, CE143 Computer Concepts and Programming will be 9:10 am on your respective scheduled dates. 

All the students are requested to report at 9:10 am.

1CSE1 - 06/12/2023 (Wednesday)

1CSE2 - 05/12/2023 (Tuesday)
 
Practical Examinations start at 9:30 am.

The following are the venues for the examination:

Practical Exam - 317 
Viva - 317 
Waiting room - 324 
Please note the following points:

1. All students should come in decent formal wear.
2. All the students must have submitted the practical file and hacker rank score. 
3. Proper discipline is to be observed by the students during viva and practical exams
4. All students should ensure that their signature on the term-work signature sheet before the practical/viva exam starts.
5. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",2023-11-25T04:02:21.645Z
211,CE143- Computer Concept Programming,"Dear Students, 

Please Find the attached material for CCP. 

",2023-11-25T03:56:53.541Z
212,CE143- Computer Concept Programming,"Dear Students,

You are informed to be ready with your CCP Practical file in soft copy and Hacker rank Score Board. In next week a link will be shared to upload these documents for CCP Submission. 

The CCP quiz is scheduled for 24-11-2023 from 11.10 am to 11.30 am. The link will be shared prior to 5 minutes in Google Classroom and in email also. The syllabus is from Unit 1 to Unit 10.  ",2023-11-23T03:54:32.804Z
213,CE143- Computer Concept Programming,PPT of CH 8 and 10,2023-11-01T08:19:48.275Z
214,CE143- Computer Concept Programming,"Dear Students, 

PFA for Unit Test- 1 Marks.",2023-10-16T06:29:53.194Z
215,CE143- Computer Concept Programming,"Dear classmates,
Greetings of the day!

Find the file format for ccp Prectical file submission.

Thank you .

NOTE :- It is Compulsory to follow this format for submission.",2023-10-04T05:34:47.196Z
216,CE143- Computer Concept Programming,"Dear Students, 

Please find the attached theory assignment- 1. 

Thank You. 

",2023-09-15T14:08:19.199Z
217,CE143- Computer Concept Programming,"Dear Students, 

Please find the attachments. 

",2023-09-14T04:41:24.350Z
218,CE143- Computer Concept Programming,"Dear Students,

Chapter 1,4,7 PPT.",2023-09-12T07:52:23.567Z
219,CE143- Computer Concept Programming,"Dear Students, 

The following is the file evaluation details: 

PRACTICAL EVALUATION and CONTINUOUS EVALUATION                    
1CSE1    
   Batch  - A    Krishna Patel    
    Batch - B    Priyanka Padhiyar    
    Batch - C    Krishna Patel            
1CSE2    
  Batch - A    Krishna Patel            
  Batch  - B    Vaishali Vadhavana            
  Batch - C    Milind Shah             
 
  
 


 THEORY EVALUATION AND CONTINUOUS EVALUATION
 1CSE1 - Krishna Patel   
 1CSE2  - Priyanka Padhiyar    ",2023-09-12T05:37:33.105Z
220,CE143- Computer Concept Programming,"Dear Students, 

Please find the attached Syllabus, Pedagogy, CCP file format, and chapter PPT. ",2023-09-12T05:31:52.710Z
221,CE143- Computer Concept Programming,"Dear Students, 

Please find the Practical List of CE143- CCP. 

",2023-08-01T08:49:32.806Z
