Course Name,Announcement,Assignee
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached the reference PPT for Chapter - 7",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached Ppt for Chapter - 10",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Greetings. We are thrilled to announce an upcoming peer learning session on the topic of the Standard Template Library (STL). As part of this initiative, we have created a Google Form registration link for interested students to sign up and participate.
Here is the link to the Google Form: https://forms.gle/pE57nsuRRicEjxSG7

Please show your interest by filling out the form by tomorrow 1:00 pm.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached below google form of Doubt Solving session. After I will receive responses, data and time will be communicated for the session",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 10
Create a C++ code to take floating point number and assign to employee experience. ",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 9
Create a C++ code for millimeter and centimeter measurement converter.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA First internal examination marks of CE144: OBJECT ORIENTED PROGRAMMING WITH C++




Thank you.
",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 7Create a C++ program to perform simple mathematic operations of complex numbers.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Internal Question Paper.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 6

Develop a C++ program store and retrieve CHARUSAT employee details.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

The syllabus for the Internal Theory Examination for Object Oriented Programming with C++ (CE144) is as follows:

Unit 1: Principles of Object-oriented Programming
Basic concept of object-oriented Programming, Benefits of OOP, Difference between object-oriented language and procedure-oriented language

Unit 2: Introduction of C++
What is C++, Simple C++ Program, Applications of C++, Introduction to class, object and creating simple program using class, Structure of C++ program

Unit 3: Tokens and Expressions & Control StructureType compatibility, Dynamic initialization, Reference variables Scope Resolution Operator, Memory Management,

Operator, Manipulators, Type cast operator

Unit 4: Functions
The main function, simple functions, call by reference, return by reference, inline functions, overloaded functions, default
arguments

Unit 5: Classes and objects
Limitation of C structure, declaring class and defining member function, making outside function inline, Nesting
member function, Private member function arrays within a class, memory allocation of objects, Static data members and
Member functions, Arrays of Objects, Object as a function argument, Friend functions, Returning objects, const Member functions

Unit 6: Constructor and Destructors
Introduction to Constructors, Parameterized Constructors, Multiple Constructors in class, Constructors with default
argument, Dynamic initialization of Constructors, Dynamic Initialization of objects, Copy Constructor, Dynamic Constructor, Destructors

All the best for examination",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Reference Question bank.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Hope you are doing well.

Here I am sharing subject material for your reference.

thank you",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 5 

Develop a system to calculate the area of circle.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 4 

Develop a system to calculate the area of a shape.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Here, I am sharing the reference material for the topic: Principles of Object-oriented Programming, Introduction of C++ and Tokens (topic details description mentioned in the material added).

Kindly go through it.
If any doubt then you can contact me.
PFA",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear All,

PFA Syllabus, Pedagogy and Rubrics

Subject Name: CE144 Object Oriented Programming with C++",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 3 

Create a car data management system for TATA motors using C++.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 2 

Develop a C++ program store and retrieve CHARUSAT employee details.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 1 Develop a C++ program for CHARUSAT student marksheet generator",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Every week practical Aim will be posted here which you have to perform and maintain as a lab journal. Practical - 1 is already been uploaded.

I will create an assignment for each practical in the classroom that you to submit within the deadline.

Ignore the practical list that was uploaded earlier.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical File format - OOPC++",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA E-Books:-",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

I am going to share feedback link of an expert talk in the lecture. So, join this lecture without fail.

We will consider your attendance from this form. As you know, attendance is also one of the criteria for the internal evolution of MA143 (EM - I).

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Expert session is already started, please join it without fail.

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear all,

Gentile Reminder.

 Greetings from DOMS, PDPIAS !!!

Department of Mathematical Sciences, P. D. Patel Institute of
Applied Sciences, CHARUSAT, is organizing an Expert Session on ""Applications
of Calculus and Matrix theory in various engineering fields "".


 Date: 2nd December 2023
Day: Saturday
Time: 12:15 PM Onwards
Online Platform: Zoom
Link: Please click the link below to join the webinar:

https://us06web.zoom.us/j/86527489501?pwd=44A6cZyIm-zXPazw5JOpwl4jAqsQZw.jI5oFFAFjjaG8VaY
Webinar ID: 865 2748 9501
Passcode: 741384

Expert Name & Affiliation: Dr. HARSHAD PATEL
Assistant Professor, U.V Patel College of Engineering, Ganpat
University, Kherva, Mehsana, Gujarat, India.

About Expert:His area of research includes Fluid Mechanics, MHD Flow of Non-Newtonian Fluid, and Machine Learning. He has published research papers in various reputable national and international journals and has also delivered expert talks at esteemed institutes such as Gujarat College, St. Xavier’s College, The M. S. University of Baroda, MTTF, Parul University, etc.He is a member of professional bodies and actively participates in conferences, FDP, STTP, etc. Additionally, he has reviewed numerous research papers for reputable international publishers and journals. This presents an excellent opportunity for anyone seeking to explore real-world problems through
mathematics.

Kindly circulate this information to other faculty members and students of your contacts and encourage them to participate in this lecture.


Kindly join this session before 15 minutes.

Note: There is no participation fee and no
certificate will be provided.

Thank you.

Sincerely Yours,
Dr. Jimitkumar Patel
and Faculty of Department of Mathematical Sciences.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear Students,

Gentle reminder. 
 
As you are aware, quiz is one of the important criteria for the internal evaluation of MA143 (Engineering Mathematics – I). Please find following the information for the quiz examination of MA143 (Engineering Mathematics - I).

Syllabus: All Units (Unit – 1,2,3,4,5)
Date: 1st December 2023, Friday
Time: 11:35 AM to 12:00 Noon
Total Marks: 10
Link: https://forms.gle/7zegDhZcwbZbZ7Xc7
The link will be activated precisely at 11:35 AM sharp.
If you have any queries, please reach out to me on 9909236460.

I kindly request everyone to join using their institute email IDs; otherwise, the Google quiz form may not open.

Please share this information with the first-year B. Tech. students only.

Best regards.
",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear all, 


 


Greetings from DOMS, PDPIAS !!! 


Department of Mathematical Sciences, P. D. Patel Institute of
Applied Sciences, CHARUSAT, is organizing an Expert Session on ""Applications
of Calculus and Matrix theory in various engineering fields "".


 


Date: 2nd December 2023 


Day: Saturday


Time: 12:15 PM Onwards


Online Platform: Zoom 


Link:Please click the link below to join the webinar:

https://us06web.zoom.us/j/86527489501?pwd=44A6cZyIm-zXPazw5JOpwl4jAqsQZw.jI5oFFAFjjaG8VaY


 


Webinar ID: 865 2748 9501

Passcode: 741384


 


Expert Name & Affiliation: Dr. HARSHAD PATEL


Assistant Professor, U.V Patel College of Engineering, Ganpat
University, Kherva, Mehsana, Gujarat, India.


About Expert:His area of research includes Fluid Mechanics, MHD
Flow of Non-Newtonian Fluid, and Machine Learning. He has published research
papers in various reputable national and international journals and has also
delivered expert talks at esteemed institutes such as Gujarat College, St.
Xavier’s College, The M. S. University of Baroda, MTTF, Parul University, etc.
He is a member of professional bodies and actively participates in conferences,
FDP, STTP, etc. Additionally, he has reviewed numerous research papers for
reputable international publishers and journals. This presents an excellent
opportunity for anyone seeking to explore real-world problems through
mathematics.


 


 


Kindly circulate this information to other faculty members
and students of your contacts and encourage them to participate in this
lecture. 


 


Kindly join this session before 15 minutes.


 


Note: There is no participation fee and no
certificate will be provided. 


 


Thank you. 


Sincerely Yours,

Dr. Jimitkumar Patel
and Faculty of Department of Mathematical Sciences.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear Students,


 


As you are aware, quiz is one of the important
criteria for the internal evaluation of MA143 (Engineering Mathematics – I). Please
find following the information for the quiz examination of MA143 (Engineering
Mathematics - I).


 


Syllabus: All Units (Unit – 1,2,3,4,5)


Date: 1st December 2023, Friday 


Time: 11:35 AM to 12:00 Noon 


Total Marks: 10 


Link: https://forms.gle/7zegDhZcwbZbZ7Xc7


 


 


The link will be activated precisely at 11:35 AM sharp.


 


If you have any queries, please reach
out to me on 9909236460.


 


I kindly request everyone to join
using their institute email IDs; otherwise, the Google quiz form may not open.


 


Please share this information with
the first-year B. Tech. students only.


 


 


 


Best regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find the question paper of first and second internal examination for your reference.

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached all materials for Unit II and Unit V of MA143 (EM I) for your reference.

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached the syllabus of MA143 (Engineering Mathematics - I) for the upcoming second internal examination scheduled on 06 - 11 - 2023 (Monday).

If you have any questions, please feel free to contact me.

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached some old question papers of first internal for MA143 (EM_I) and old course for your reference.

 Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached the syllabus of MA143 (Engineering Mathematics - I) for the upcoming first internal examination scheduled on 20 - 09 - 2023 (Wednesday).

If you have any questions, please feel free to contact me.

Regards.",Unknown
MA143_EM_I_2023_2024 (ODD),"Dear students,

Please find herewith attached all materials for Unit I, Unit II and Unit IV of MA143 (EM I) for your reference.

Regards. ",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the Previous year's University Papers. ",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the Previous year's University Papers. 

Thank You",Unknown
CE143- Computer Concept Programming,"Dear students, 

A gentle reminder for tomorrow's CCP exam. 

Please note the following points:

1. All students should come in decent formal wear.
2. All the students must have submitted the practical file and hacker rank score. 
3. Proper discipline is to be observed by the students during viva and practical exams
4. All students should ensure that their signature on the term-work signature sheet before the practical/viva exam starts.
5. Try to answer the questions in English only. ",Unknown
CE143- Computer Concept Programming,"Dear Students, 
 
Kindly upload the Practical File and HackerRank PDF file on below link before 03-12-2023: 

https://forms.gle/QpSDCYNgCQZachNf9",Unknown
CE143- Computer Concept Programming,"Dear Students, 

PFA for 2nd unit test mark of CCP.",Unknown
CE143- Computer Concept Programming,"Dear students,

Greetings!

As per the scheduled time of viva and practical exam for the subject, CE143 Computer Concepts and Programming will be 9:10 am on your respective scheduled dates. 

All the students are requested to report at 9:10 am.

1CSE1 - 06/12/2023 (Wednesday)

1CSE2 - 05/12/2023 (Tuesday)
 
Practical Examinations start at 9:30 am.

The following are the venues for the examination:

Practical Exam - 317 
Viva - 317 
Waiting room - 324 
Please note the following points:

1. All students should come in decent formal wear.
2. All the students must have submitted the practical file and hacker rank score. 
3. Proper discipline is to be observed by the students during viva and practical exams
4. All students should ensure that their signature on the term-work signature sheet before the practical/viva exam starts.
5. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please Find the attached material for CCP. 

",Unknown
CE143- Computer Concept Programming,"Dear Students,

You are informed to be ready with your CCP Practical file in soft copy and Hacker rank Score Board. In next week a link will be shared to upload these documents for CCP Submission. 

The CCP quiz is scheduled for 24-11-2023 from 11.10 am to 11.30 am. The link will be shared prior to 5 minutes in Google Classroom and in email also. The syllabus is from Unit 1 to Unit 10.  ",Unknown
CE143- Computer Concept Programming,PPT of CH 8 and 10,Unknown
CE143- Computer Concept Programming,"Dear Students, 

PFA for Unit Test- 1 Marks.",Unknown
CE143- Computer Concept Programming,"Dear classmates,
Greetings of the day!

Find the file format for ccp Prectical file submission.

Thank you .

NOTE :- It is Compulsory to follow this format for submission.",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the attached theory assignment- 1. 

Thank You. 

",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the attachments. 

",Unknown
CE143- Computer Concept Programming,"Dear Students,

Chapter 1,4,7 PPT.",Unknown
CE143- Computer Concept Programming,"Dear Students, 

The following is the file evaluation details: 

PRACTICAL EVALUATION and CONTINUOUS EVALUATION                    
1CSE1    
   Batch  - A    Krishna Patel    
    Batch - B    Priyanka Padhiyar    
    Batch - C    Krishna Patel            
1CSE2    
  Batch - A    Krishna Patel            
  Batch  - B    Vaishali Vadhavana            
  Batch - C    Milind Shah             
 
  
 


 THEORY EVALUATION AND CONTINUOUS EVALUATION
 1CSE1 - Krishna Patel   
 1CSE2  - Priyanka Padhiyar    ",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the attached Syllabus, Pedagogy, CCP file format, and chapter PPT. ",Unknown
CE143- Computer Concept Programming,"Dear Students, 

Please find the Practical List of CE143- CCP. 

",Unknown
